District,Education,Sex,Count
Ahmadnagar,Technical degree or diploma equal to degree or post-graduate degree,Female,10212
Bid,Illiterate,Male,124680
Bid,Literate,Male,558565
Bid,Literate but below matric/secondary,Male,256352
Bid,Matric/secondary but below graduate,Male,167452
Bid,Technical diploma or certificate not equal to degree,Male,4564
Bid,Graduate and above other than technical degree,Male,56936
Bid,Technical degree or diploma equal to degree or post-graduate degree,Male,16032
Bid,Illiterate,Female,205364
Bid,Literate,Female,265390
Bid,Literate but below matric/secondary,Female,148536
Bid,Matric/secondary but below graduate,Female,49061
Bid,Technical diploma or certificate not equal to degree,Female,655
Bid,Graduate and above other than technical degree,Female,7274
Bid,Technical degree or diploma equal to degree or post-graduate degree,Female,4554
Latur,Illiterate,Male,117842
Latur,Literate,Male,516129
Latur,Literate but below matric/secondary,Male,226181
Latur,Matric/secondary but below graduate,Male,179083
Latur,Technical diploma or certificate not equal to degree,Male,6077
Latur,Graduate and above other than technical degree,Male,45141
Latur,Technical degree or diploma equal to degree or post-graduate degree,Male,18926
Latur,Illiterate,Female,139574
Latur,Literate,Female,191157
Latur,Literate but below matric/secondary,Female,115996
Latur,Matric/secondary but below graduate,Female,42100
Latur,Technical diploma or certificate not equal to degree,Female,776
Latur,Graduate and above other than technical degree,Female,6528
Latur,Technical degree or diploma equal to degree or post-graduate degree,Female,5261
Osmanabad,Illiterate,Male,76593
Osmanabad,Literate,Male,365625
Osmanabad,Literate but below matric/secondary,Male,172066
Osmanabad,Matric/secondary but below graduate,Male,121152
Osmanabad,Technical diploma or certificate not equal to degree,Male,3256
Osmanabad,Graduate and above other than technical degree,Male,33278
Osmanabad,Technical degree or diploma equal to degree or post-graduate degree,Male,10450
Osmanabad,Illiterate,Female,104055
Osmanabad,Literate,Female,156163
Osmanabad,Literate but below matric/secondary,Female,93830
Osmanabad,Matric/secondary but below graduate,Female,32451
Osmanabad,Technical diploma or certificate not equal to degree,Female,367
Osmanabad,Graduate and above other than technical degree,Female,4333
Osmanabad,Technical degree or diploma equal to degree or post-graduate degree,Female,2495
Solapur,Illiterate,Male,208882
Solapur,Literate,Male,939933
Solapur,Literate but below matric/secondary,Male,506061
Solapur,Matric/secondary but below graduate,Male,274095
Solapur,Technical diploma or certificate not equal to degree,Male,11918
Solapur,Graduate and above other than technical degree,Male,88042
Solapur,Technical degree or diploma equal to degree or post-graduate degree,Male,28199
Solapur,Illiterate,Female,272100
Solapur,Literate,Female,341446
Solapur,Literate but below matric/secondary,Female,237590
Solapur,Matric/secondary but below graduate,Female,59606
Solapur,Technical diploma or certificate not equal to degree,Female,1425
Solapur,Graduate and above other than technical degree,Female,15322
Solapur,Technical degree or diploma equal to degree or post-graduate degree,Female,8991
Satara,Illiterate,Male,89193
Satara,Literate,Male,691671
Satara,Literate but below matric/secondary,Male,309896
Satara,Matric/secondary but below graduate,Male,242176
Satara,Technical diploma or certificate not equal to degree,Male,10630
Satara,Graduate and above other than technical degree,Male,75019
Satara,Technical degree or diploma equal to degree or post-graduate degree,Male,18803
Satara,Illiterate,Female,125197
Satara,Literate,Female,278094
Satara,Literate but below matric/secondary,Female,172960
Satara,Matric/secondary but below graduate,Female,58189
Satara,Technical diploma or certificate not equal to degree,Female,1558
Satara,Graduate and above other than technical degree,Female,17897
Satara,Technical degree or diploma equal to degree or post-graduate degree,Female,7264
Ratnagiri,Illiterate,Male,32182
Ratnagiri,Literate,Male,311550
Ratnagiri,Literate but below matric/secondary,Male,186503
Ratnagiri,Matric/secondary but below graduate,Male,86448
Ratnagiri,Technical diploma or certificate not equal to degree,Male,4754
Ratnagiri,Graduate and above other than technical degree,Male,20420
Ratnagiri,Technical degree or diploma equal to degree or post-graduate degree,Male,8031
Ratnagiri,Illiterate,Female,63967
Ratnagiri,Literate,Female,146724
Ratnagiri,Literate but below matric/secondary,Female,112542
Ratnagiri,Matric/secondary but below graduate,Female,19120
Ratnagiri,Technical diploma or certificate not equal to degree,Female,766
Ratnagiri,Graduate and above other than technical degree,Female,7063
Ratnagiri,Technical degree or diploma equal to degree or post-graduate degree,Female,3780
Sindhudurg,Illiterate,Male,13112
Sindhudurg,Literate,Male,151955
Sindhudurg,Literate but below matric/secondary,Male,75432
Sindhudurg,Matric/secondary but below graduate,Male,50566
Sindhudurg,Technical diploma or certificate not equal to degree,Male,1576
Sindhudurg,Graduate and above other than technical degree,Male,12756
Sindhudurg,Technical degree or diploma equal to degree or post-graduate degree,Male,3185
Sindhudurg,Illiterate,Female,12030
Sindhudurg,Literate,Female,49604
Sindhudurg,Literate but below matric/secondary,Female,29498
Sindhudurg,Matric/secondary but below graduate,Female,10584
Sindhudurg,Technical diploma or certificate not equal to degree,Female,421
Sindhudurg,Graduate and above other than technical degree,Female,3979
Sindhudurg,Technical degree or diploma equal to degree or post-graduate degree,Female,1827
Kolhapur,Illiterate,Male,132202
Kolhapur,Literate,Male,917079
Kolhapur,Literate but below matric/secondary,Male,368796
Kolhapur,Matric/secondary but below graduate,Male,348905
Kolhapur,Technical diploma or certificate not equal to degree,Male,18116
Kolhapur,Graduate and above other than technical degree,Male,113369
Kolhapur,Technical degree or diploma equal to degree or post-graduate degree,Male,25921
Kolhapur,Illiterate,Female,164866
Kolhapur,Literate,Female,293846
Kolhapur,Literate but below matric/secondary,Female,168319
Kolhapur,Matric/secondary but below graduate,Female,73736
Kolhapur,Technical diploma or certificate not equal to degree,Female,2134
Kolhapur,Graduate and above other than technical degree,Female,22078
Kolhapur,Technical degree or diploma equal to degree or post-graduate degree,Female,8677
Sangli,Illiterate,Male,99531
Sangli,Literate,Male,649466
Sangli,Literate but below matric/secondary,Male,295488
Sangli,Matric/secondary but below graduate,Male,226861
Sangli,Technical diploma or certificate not equal to degree,Male,11166
Sangli,Graduate and above other than technical degree,Male,72304
Sangli,Technical degree or diploma equal to degree or post-graduate degree,Male,18450
Sangli,Illiterate,Female,113502
Sangli,Literate,Female,212087
Sangli,Literate but below matric/secondary,Female,128966
Sangli,Matric/secondary but below graduate,Female,46525
Sangli,Technical diploma or certificate not equal to degree,Female,1449
Sangli,Graduate and above other than technical degree,Female,15193
Sangli,Technical degree or diploma equal to degree or post-graduate degree,Female,6891
