District,Education,Total,Male,Female
Ahmadnagar,Technical diploma or certificate not equal to degree,18731,16368,2363
Ahmadnagar,Graduate and above other than technical degree,119432,99956,19476
Ahmadnagar,Technical degree or diploma equal to degree or post-graduate degree,38413,28201,10212
Bid,Illiterate,330044,124680,205364
Bid,Literate,823955,558565,265390
Bid,Literate but below matric/secondary,404888,256352,148536
Bid,Matric/secondary but below graduate,216513,167452,49061
Bid,Technical diploma or certificate not equal to degree,5219,4564,655
Bid,Graduate and above other than technical degree,64210,56936,7274
Bid,Technical degree or diploma equal to degree or post-graduate degree,20586,16032,4554
Latur,Illiterate,257416,117842,139574
Latur,Literate,707286,516129,191157
Latur,Literate but below matric/secondary,342177,226181,115996
Latur,Matric/secondary but below graduate,221183,179083,42100
Latur,Technical diploma or certificate not equal to degree,6853,6077,776
Latur,Graduate and above other than technical degree,51669,45141,6528
Latur,Technical degree or diploma equal to degree or post-graduate degree,24187,18926,5261
Osmanabad,Illiterate,180648,76593,104055
Osmanabad,Literate,521788,365625,156163
Osmanabad,Literate but below matric/secondary,265896,172066,93830
Osmanabad,Matric/secondary but below graduate,153603,121152,32451
Osmanabad,Technical diploma or certificate not equal to degree,3623,3256,367
Osmanabad,Graduate and above other than technical degree,37611,33278,4333
Osmanabad,Technical degree or diploma equal to degree or post-graduate degree,12945,10450,2495
Solapur,Illiterate,480982,208882,272100
Solapur,Literate,1281379,939933,341446
Solapur,Literate but below matric/secondary,743651,506061,237590
Solapur,Matric/secondary but below graduate,333701,274095,59606
Solapur,Technical diploma or certificate not equal to degree,13343,11918,1425
Solapur,Graduate and above other than technical degree,103364,88042,15322
Solapur,Technical degree or diploma equal to degree or post-graduate degree,37190,28199,8991
Satara,Illiterate,214390,89193,125197
Satara,Literate,969765,691671,278094
Satara,Literate but below matric/secondary,482856,309896,172960
Satara,Matric/secondary but below graduate,300365,242176,58189
Satara,Technical diploma or certificate not equal to degree,12188,10630,1558
Satara,Graduate and above other than technical degree,92916,75019,17897
Satara,Technical degree or diploma equal to degree or post-graduate degree,26067,18803,7264
Ratnagiri,Illiterate,96149,32182,63967
Ratnagiri,Literate,458274,311550,146724
Ratnagiri,Literate but below matric/secondary,299045,186503,112542
Ratnagiri,Matric/secondary but below graduate,105568,86448,19120
Ratnagiri,Technical diploma or certificate not equal to degree,5520,4754,766
Ratnagiri,Graduate and above other than technical degree,27483,20420,7063
Ratnagiri,Technical degree or diploma equal to degree or post-graduate degree,11811,8031,3780
Sindhudurg,Illiterate,25142,13112,12030
Sindhudurg,Literate,201559,151955,49604
Sindhudurg,Literate but below matric/secondary,104930,75432,29498
Sindhudurg,Matric/secondary but below graduate,61150,50566,10584
Sindhudurg,Technical diploma or certificate not equal to degree,1997,1576,421
Sindhudurg,Graduate and above other than technical degree,16735,12756,3979
Sindhudurg,Technical degree or diploma equal to degree or post-graduate degree,5012,3185,1827
Kolhapur,Illiterate,297068,132202,164866
Kolhapur,Literate,1210925,917079,293846
Kolhapur,Literate but below matric/secondary,537115,368796,168319
Kolhapur,Matric/secondary but below graduate,422641,348905,73736
Kolhapur,Technical diploma or certificate not equal to degree,20250,18116,2134
Kolhapur,Graduate and above other than technical degree,135447,113369,22078
Kolhapur,Technical degree or diploma equal to degree or post-graduate degree,34598,25921,8677
Sangli,Illiterate,213033,99531,113502
Sangli,Literate,861553,649466,212087
Sangli,Literate but below matric/secondary,424454,295488,128966
Sangli,Matric/secondary but below graduate,273386,226861,46525
Sangli,Technical diploma or certificate not equal to degree,12615,11166,1449
Sangli,Graduate and above other than technical degree,87497,72304,15193
Sangli,Technical degree or diploma equal to degree or post-graduate degree,25341,18450,6891
